provider,model,condition,player_type,chips_per_100,raise_rate,decision_count
opencode-go,deepseek-v4-flash,reflexive_off,myopic,448.5666666667,0.0555555556,18
opencode-go,deepseek-v4-flash,reflexive_off,calling_station,151.0173333333,0.0869565217,23
opencode-go,deepseek-v4-flash,reflexive_off,llm,91.6666666667,0.1666666667,12
opencode-go,deepseek-v4-flash,reflexive_off,tag,-70.8333333333,0.0,12
opencode-go,deepseek-v4-flash,reflexive_off,rock,-225.4666666667,0.0769230769,13
opencode-go,deepseek-v4-flash,reflexive_off,lag,-394.9506666667,0.2142857143,14
opencode-go,deepseek-v4-flash,reflexive_on,myopic,436.0666666667,0.0555555556,18
opencode-go,deepseek-v4-flash,reflexive_on,calling_station,151.0173333333,0.0869565217,23
opencode-go,deepseek-v4-flash,reflexive_on,llm,116.6666666667,0.1666666667,12
opencode-go,deepseek-v4-flash,reflexive_on,tag,-83.3333333333,0.0,12
opencode-go,deepseek-v4-flash,reflexive_on,rock,-225.4666666667,0.0769230769,13
opencode-go,deepseek-v4-flash,reflexive_on,lag,-394.9506666667,0.2142857143,14
codex,gpt-5.6-luna,reflexive_off,myopic,486.0666666667,0.0588235294,17
codex,gpt-5.6-luna,reflexive_off,calling_station,151.0173333333,0.0869565217,23
codex,gpt-5.6-luna,reflexive_off,llm,16.6666666667,0.0909090909,11
codex,gpt-5.6-luna,reflexive_off,tag,-33.3333333333,0.0,11
codex,gpt-5.6-luna,reflexive_off,rock,-225.4666666667,0.0769230769,13
codex,gpt-5.6-luna,reflexive_off,lag,-394.9506666667,0.2142857143,14
codex,gpt-5.6-luna,reflexive_on,myopic,486.0666666667,0.0588235294,17
codex,gpt-5.6-luna,reflexive_on,calling_station,151.0173333333,0.0869565217,23
codex,gpt-5.6-luna,reflexive_on,llm,16.6666666667,0.0909090909,11
codex,gpt-5.6-luna,reflexive_on,tag,-33.3333333333,0.0,11
codex,gpt-5.6-luna,reflexive_on,rock,-225.4666666667,0.0769230769,13
codex,gpt-5.6-luna,reflexive_on,lag,-394.9506666667,0.2142857143,14
